ID_Municipio,Municipio
1,Santa Catarina Pinula
2,Alta Verapaz
3,San Miguel Petapa
4,Olintepeque
5,Ciudad Vieja
6,Villa Nueva
7,Chimaltenango
8,Guatemala
9,Suchitepéquez
10,Quetzaltenango
11,Chiquimula
12,Otro Municipio
13,Jocotenango
14,Jutiapa
15,Poptún
16,Tecpán Guatemala
17,Santa Lucía Cotzumalguapa
18,Escuintla
19,Cabecera Municipal
20,Mixco
21,Totonicapán
22,Coatepeque
23,Palín
24,El Progreso
25,Flores
26,Izabal
27,Zacapa
28,Huehuetenango
29,Antigua Guatemala
30,Retalhuleu
31,Sumpango
32,Patzún
33,San Benito
34,Baja Verapaz
35,Jalapa
36,Santa Rosa
37,Quiché
38,Sololá
39,San Marcos
