ID_Snack,SnacksSeleccionados
1,FutbolMix; Hot Stadium Peanuts; Caramel Goal Popcorn
2,ChocoKick Bites; CrunchMax BBQ
3,ChocoKick Bites; Fan Chips Jalapeño; Victory Pretzels
4,Fan Chips Jalapeño; CrunchMax BBQ
5,Caramel Goal Popcorn; FutbolMix
6,CrunchMax BBQ
7,ChocoKick Bites
8,Hot Stadium Peanuts; Caramel Goal Popcorn; Fan Chips Jalapeño
9,Caramel Goal Popcorn
10,Energy Crunch Protein; Fan Chips Jalapeño; Gol Nachos Supreme
11,Gol Nachos Supreme
12,FutbolMix
13,FutbolMix; Gol Nachos Supreme; Caramel Goal Popcorn
14,Victory Pretzels
15,Energy Crunch Protein; CrunchMax BBQ; ChocoKick Bites
16,ChocoKick Bites; FutbolMix
17,Hot Stadium Peanuts; Gol Nachos Supreme; FutbolMix
18,Mundialitos Queso Picante; CrunchMax BBQ
19,CrunchMax BBQ; Energy Crunch Protein
20,Hot Stadium Peanuts; Mundialitos Queso Picante; FutbolMix
21,ChocoKick Bites; FutbolMix; Fan Chips Jalapeño
22,Fan Chips Jalapeño; Victory Pretzels
23,Mundialitos Queso Picante; ChocoKick Bites
24,FutbolMix; Mundialitos Queso Picante
25,Energy Crunch Protein
26,Victory Pretzels; Fan Chips Jalapeño; Gol Nachos Supreme
27,Mundialitos Queso Picante; CrunchMax BBQ; Caramel Goal Popcorn
28,Fan Chips Jalapeño
29,Caramel Goal Popcorn; ChocoKick Bites
30,ChocoKick Bites; Mundialitos Queso Picante; Fan Chips Jalapeño
31,FutbolMix; Energy Crunch Protein
32,ChocoKick Bites; Caramel Goal Popcorn; FutbolMix
33,Fan Chips Jalapeño; ChocoKick Bites; FutbolMix
34,Mundialitos Queso Picante
35,Hot Stadium Peanuts; Caramel Goal Popcorn
36,CrunchMax BBQ; Mundialitos Queso Picante; Caramel Goal Popcorn
37,Hot Stadium Peanuts; Fan Chips Jalapeño; FutbolMix
38,Fan Chips Jalapeño; Gol Nachos Supreme
39,ChocoKick Bites; Fan Chips Jalapeño
40,Mundialitos Queso Picante; Fan Chips Jalapeño; Gol Nachos Supreme
41,FutbolMix; CrunchMax BBQ; Gol Nachos Supreme
42,CrunchMax BBQ; Gol Nachos Supreme
43,ChocoKick Bites; Mundialitos Queso Picante; Gol Nachos Supreme
44,CrunchMax BBQ; ChocoKick Bites; Gol Nachos Supreme
45,Hot Stadium Peanuts
46,Victory Pretzels; ChocoKick Bites
47,Gol Nachos Supreme; FutbolMix; CrunchMax BBQ
48,Mundialitos Queso Picante; Victory Pretzels; FutbolMix
49,ChocoKick Bites; Gol Nachos Supreme
50,FutbolMix; Fan Chips Jalapeño
51,ChocoKick Bites; Victory Pretzels
52,ChocoKick Bites; Hot Stadium Peanuts
53,Caramel Goal Popcorn; FutbolMix; Mundialitos Queso Picante
54,Caramel Goal Popcorn; CrunchMax BBQ; ChocoKick Bites
55,CrunchMax BBQ; Mundialitos Queso Picante
56,Gol Nachos Supreme; CrunchMax BBQ
57,Caramel Goal Popcorn; Gol Nachos Supreme
58,Gol Nachos Supreme; CrunchMax BBQ; FutbolMix
59,Victory Pretzels; Mundialitos Queso Picante; CrunchMax BBQ
60,Mundialitos Queso Picante; Fan Chips Jalapeño; FutbolMix
61,Gol Nachos Supreme; Hot Stadium Peanuts
62,ChocoKick Bites; Fan Chips Jalapeño; CrunchMax BBQ
63,CrunchMax BBQ; Fan Chips Jalapeño
64,Caramel Goal Popcorn; Fan Chips Jalapeño; Hot Stadium Peanuts
65,Victory Pretzels; Fan Chips Jalapeño
66,Victory Pretzels; Gol Nachos Supreme; Caramel Goal Popcorn
67,Victory Pretzels; CrunchMax BBQ; Caramel Goal Popcorn
68,Gol Nachos Supreme; Mundialitos Queso Picante
69,Victory Pretzels; Mundialitos Queso Picante; Fan Chips Jalapeño
70,ChocoKick Bites; Caramel Goal Popcorn; CrunchMax BBQ
71,Gol Nachos Supreme; ChocoKick Bites; Mundialitos Queso Picante
72,Hot Stadium Peanuts; Fan Chips Jalapeño; Victory Pretzels
73,ChocoKick Bites; CrunchMax BBQ; Hot Stadium Peanuts
74,Caramel Goal Popcorn; Mundialitos Queso Picante; CrunchMax BBQ
75,Gol Nachos Supreme; FutbolMix
76,Gol Nachos Supreme; CrunchMax BBQ; ChocoKick Bites
77,Mundialitos Queso Picante; Fan Chips Jalapeño; CrunchMax BBQ
78,Mundialitos Queso Picante; FutbolMix
79,ChocoKick Bites; FutbolMix; Mundialitos Queso Picante
80,Mundialitos Queso Picante; Gol Nachos Supreme
81,Fan Chips Jalapeño; Mundialitos Queso Picante; Victory Pretzels
82,FutbolMix; Victory Pretzels; Fan Chips Jalapeño
83,CrunchMax BBQ; FutbolMix; Gol Nachos Supreme
84,Victory Pretzels; CrunchMax BBQ; Mundialitos Queso Picante
85,Mundialitos Queso Picante; Caramel Goal Popcorn; Gol Nachos Supreme
86,CrunchMax BBQ; Mundialitos Queso Picante; Fan Chips Jalapeño
87,Caramel Goal Popcorn; Hot Stadium Peanuts
88,Mundialitos Queso Picante; Hot Stadium Peanuts; FutbolMix
89,Mundialitos Queso Picante; Fan Chips Jalapeño
90,FutbolMix; ChocoKick Bites; Energy Crunch Protein
91,Caramel Goal Popcorn; Victory Pretzels; Mundialitos Queso Picante
92,Gol Nachos Supreme; Fan Chips Jalapeño
93,Caramel Goal Popcorn; Fan Chips Jalapeño
94,Hot Stadium Peanuts; Gol Nachos Supreme; Energy Crunch Protein
95,CrunchMax BBQ; Mundialitos Queso Picante; FutbolMix
96,Fan Chips Jalapeño; Energy Crunch Protein
97,FutbolMix; ChocoKick Bites; Mundialitos Queso Picante
98,Gol Nachos Supreme; Victory Pretzels; Mundialitos Queso Picante
99,Mundialitos Queso Picante; Gol Nachos Supreme; CrunchMax BBQ
100,Fan Chips Jalapeño; ChocoKick Bites
101,Fan Chips Jalapeño; Mundialitos Queso Picante; Gol Nachos Supreme
102,ChocoKick Bites; Gol Nachos Supreme; CrunchMax BBQ
103,Hot Stadium Peanuts; Victory Pretzels
104,Hot Stadium Peanuts; Energy Crunch Protein; ChocoKick Bites
105,Caramel Goal Popcorn; Victory Pretzels; CrunchMax BBQ
106,Fan Chips Jalapeño; Hot Stadium Peanuts; Mundialitos Queso Picante
107,ChocoKick Bites; Fan Chips Jalapeño; Mundialitos Queso Picante
108,Fan Chips Jalapeño; Gol Nachos Supreme; Caramel Goal Popcorn
109,ChocoKick Bites; Mundialitos Queso Picante
110,Fan Chips Jalapeño; Energy Crunch Protein; Hot Stadium Peanuts
