ID_Tiempo,FechaEncuesta
1,2026-04-15
2,2026-01-26
3,2026-04-22
4,2026-01-28
5,2026-03-04
6,2026-02-05
7,2026-01-20
8,2026-03-30
9,2026-01-11
10,2026-02-21
11,2026-04-04
12,2026-01-29
13,2026-05-05
14,2026-04-28
15,2026-02-10
16,2026-03-23
17,2026-05-08
18,2026-05-10
19,2026-02-11
20,2026-03-31
21,2026-02-17
22,2026-04-16
23,2026-04-18
24,2026-02-06
25,2026-03-14
26,2026-05-01
27,2026-03-09
28,2026-03-16
29,2026-03-18
30,2026-05-02
31,2026-01-12
32,2026-03-24
33,2026-02-19
34,2026-02-28
35,2026-04-26
36,2026-01-25
37,2026-04-06
38,2026-03-05
39,2026-01-21
40,2026-03-12
41,2026-02-22
42,2026-03-10
43,2026-01-27
44,2026-02-04
45,2026-01-19
46,2026-04-13
47,2026-03-06
48,2026-03-29
49,2026-04-02
50,2026-04-27
51,2026-01-15
52,2026-03-15
53,2026-02-26
54,2026-02-07
55,2026-03-02
56,2026-04-07
57,2026-04-14
58,2026-01-24
59,2026-02-01
60,2026-04-29
61,2026-02-16
62,2026-03-13
63,2026-04-17
64,2026-02-24
65,2026-02-13
66,2026-04-30
67,2026-01-16
68,2026-03-25
69,2026-03-19
70,2026-03-21
71,2026-02-14
72,2026-04-09
73,2026-01-31
74,2026-04-25
75,2026-04-01
76,2026-01-13
77,2026-04-03
78,2026-02-18
79,2026-03-20
80,2026-02-23
81,2026-03-22
82,2026-05-09
83,2026-03-28
84,2026-02-02
85,2026-02-15
86,2026-03-07
87,2026-01-17
88,2026-04-12
89,2026-02-27
90,2026-03-08
91,2026-04-19
92,2026-01-30
93,2026-01-23
94,2026-02-25
95,2026-04-08
96,2026-04-05
97,2026-01-18
98,2026-02-12
99,2026-02-03
100,2026-05-06
101,2026-01-22
102,2026-04-23
103,2026-05-07
104,2026-04-11
105,2026-01-10
106,2026-04-20
107,2026-04-21
108,2026-03-03
109,2026-02-09
110,2026-02-20
111,2026-01-14
112,2026-03-26
113,2026-02-08
114,2026-05-03
115,2026-04-10
116,2026-03-01
117,2026-03-27
118,2026-03-17
119,2026-05-04
120,2026-04-24
121,2026-03-11
