ID_Encuesta,ID_Edad,ID_Genero,ID_Departamento,ID_Municipio,ID_Ocupacion,ID_Seleccion,ID_Jugador,ID_Promocion,ID_Frecuencia,ID_LugarCompra,ID_CompaniaPartidos,ID_Snack,ID_Sabor,ID_Presentacion,ID_Tiempo,PrecioAdecuado
1,1,1,1,1.0,1.0,1,1,1,1,1.0,1,1,1.0,1,1,Q10 - Q15
2,2,2,1,1.0,2.0,1,2,2,2,2.0,2,2,2.0,1,2,Q21 - Q30
3,3,2,2,2.0,3.0,2,3,3,1,3.0,3,3,3.0,1,3,Q16 - Q20
4,4,1,1,3.0,4.0,3,4,4,3,4.0,2,4,4.0,1,4,Q16 - Q20
5,4,1,1,3.0,3.0,2,5,5,1,5.0,1,5,5.0,2,5,Q16 - Q20
6,2,2,3,4.0,5.0,4,5,5,2,5.0,2,6,6.0,2,6,Q21 - Q30
7,3,2,4,5.0,4.0,5,6,4,3,1.0,2,7,1.0,3,7,Q16 - Q20
8,4,3,1,6.0,2.0,6,7,5,3,5.0,1,8,7.0,2,8,Más de Q30
9,4,1,5,7.0,6.0,7,8,6,4,3.0,3,9,1.0,1,9,Q10 - Q15
10,5,1,1,8.0,7.0,1,9,5,1,5.0,3,10,8.0,2,10,Más de Q30
11,2,2,6,9.0,6.0,4,10,4,4,6.0,3,11,5.0,3,11,Q16 - Q20
12,5,2,3,10.0,4.0,8,4,3,3,5.0,4,12,4.0,4,12,Q16 - Q20
13,4,2,7,11.0,2.0,8,11,4,3,2.0,3,13,5.0,4,13,Más de Q30
14,4,1,8,12.0,1.0,8,12,4,3,6.0,1,14,5.0,3,14,Q16 - Q20
15,2,1,9,12.0,3.0,3,13,2,2,5.0,4,15,6.0,3,15,Q10 - Q15
16,5,1,4,13.0,3.0,7,14,5,2,5.0,1,16,8.0,4,16,Q16 - Q20
17,2,1,1,8.0,4.0,9,15,4,4,2.0,3,17,4.0,2,17,Q16 - Q20
18,3,2,1,1.0,8.0,7,16,1,2,3.0,1,18,8.0,3,18,Q21 - Q30
19,2,1,10,12.0,5.0,10,17,2,2,2.0,3,19,3.0,2,19,Más de Q30
