ID_Jugador,Jugador
1,Kylian Mbappé; Cristiano Ronaldo; Neymar Jr.
2,Cristiano Ronaldo; Kylian Mbappé; Christian Pulisic
3,Cristiano Ronaldo; Federico Valverde
4,Vinícius Júnior
5,Kylian Mbappé
6,Lionel Messi
7,Cristiano Ronaldo; Lionel Messi; Julián Álvarez
8,Lionel Messi; Neymar Jr.
9,Cristiano Ronaldo; Rodri
10,Neymar Jr.; Cristiano Ronaldo
11,Cristiano Ronaldo
12,Cristiano Ronaldo; Neymar Jr.
13,Lionel Messi; Neymar Jr.; Kylian Mbappé
14,Jude Bellingham; Cristiano Ronaldo
15,Rodri; Alphonso Davies; Vinícius Júnior
16,Neymar Jr.; Vinícius Júnior; Lionel Messi
17,Julián Álvarez; Harry Kane
18,Jude Bellingham
19,Lionel Messi; Rodri; Harry Kane
20,Lionel Messi; Cristiano Ronaldo; Neymar Jr.
21,Vinícius Júnior; Lionel Messi; Christian Pulisic
22,Neymar Jr.; Vinícius Júnior
23,Lamine Yamal; Kylian Mbappé
24,Lionel Messi; Jude Bellingham
25,Ninguno
26,Ninguno; Lionel Messi; Jude Bellingham
27,Rodri
28,Cristiano Ronaldo; Vinícius Júnior; Alphonso Davies
29,Harry Kane; Rodri
30,Christian Pulisic
31,Lamine Yamal
32,Federico Valverde
33,Lionel Messi; Jude Bellingham; Vinícius Júnior
34,Cristiano Ronaldo; Vinícius Júnior; Rodri
35,Neymar Jr.; Julián Álvarez
36,Neymar Jr.; Jude Bellingham
37,Rodri; Jude Bellingham
38,Ninguno; Lionel Messi; Vinícius Júnior
39,Neymar Jr.
40,Lionel Messi; Christian Pulisic; Neymar Jr.
41,Lionel Messi; Cristiano Ronaldo
42,Neymar Jr.; Jude Bellingham; Lamine Yamal
43,Federico Valverde; Vinícius Júnior; Ninguno
44,Lionel Messi; Neymar Jr.; Vinícius Júnior
45,Neymar Jr.; Federico Valverde
46,Neymar Jr.; Harry Kane; Lamine Yamal
47,Kylian Mbappé; Neymar Jr.
48,Julián Álvarez; Neymar Jr.
49,Rodri; Cristiano Ronaldo
50,Julián Álvarez; Cristiano Ronaldo
51,Lionel Messi; Jude Bellingham; Cristiano Ronaldo
52,Lionel Messi; Vinícius Júnior
53,Lionel Messi; Kylian Mbappé
54,Neymar Jr.; Lionel Messi
55,Kylian Mbappé; Christian Pulisic
56,Neymar Jr.; Kylian Mbappé
57,Lionel Messi; Lamine Yamal; Harry Kane
58,Lionel Messi; Ninguno
59,Kylian Mbappé; Cristiano Ronaldo
60,Lionel Messi; Federico Valverde; Vinícius Júnior
61,Jude Bellingham; Lionel Messi; Lamine Yamal
62,Harry Kane; Cristiano Ronaldo
63,Neymar Jr.; Kylian Mbappé; Vinícius Júnior
64,Kylian Mbappé; Jude Bellingham
65,Christian Pulisic; Kylian Mbappé
