ID_Seleccion,Seleccion
1,Portugal
2,España
3,Inglaterra
4,Estados Unidos
5,Francia
6,Nueva Zelanda
7,Brasil
8,Argentina
9,México
10,Australia
11,Irán
12,Corea del Sur
13,ESTADOS UNIDOS
14,FRANCIA
15,Noruega
16,ARGENTINA
17,Uruguay
18,Austria
19,Türkiye
20,Japón
21,BRASIL
22,Alemania
23,Colombia
24,Suecia
25,Panamá
26,ALEMANIA
27,ESPAÑA
28,MÉXICO
29,PORTUGAL
30,Paraguay
31,Egipto
32,Túnez
33,Cabo Verde
34,Bosnia y Herzegovina
35,Haití
36,Irak
37,Czechia
38,Argelia
39,Croacia
40,Curaçao
41,Uzbekistán
42,Suiza
43,Escocia
44,Senegal
45,Bélgica
46,Arabia Saudita
47,Ghana
48,Jordania
49,Canadá
50,TÜRKIYE
51,Marruecos
52,Congo DR
53,Costa de Marfil
54,CANADÁ
55,CURAÇAO
56,BÉLGICA
57,ARABIA SAUDITA
58,Ecuador
59,Países Bajos
60,COLOMBIA
61,South Africa
62,Qatar
63,TÚNEZ
64,URUGUAY
65,CROACIA
